eta,reference,P_wrap,marked,chi,xi,n
0.7,K1_maple_leaf,0.0,0.2566964285714286,1.5652467883705206,0.6306174524027339,2
0.7,K2_kagome,0.0,0.011160714285714284,1.0,0.0,2
0.7,K3_honeycomb,0.0,0.0,0.0,0.0,2
0.775,K1_maple_leaf,0.0,0.3035714285714286,2.116519546027743,0.8393478278425323,2
0.775,K2_kagome,0.0,0.0,0.0,0.0,2
0.775,K3_honeycomb,0.0,0.0,0.0,0.0,2
0.8,K1_maple_leaf,0.0,0.29017857142857145,1.418943533697632,0.44372220686889874,2
0.8,K2_kagome,0.0,0.004464285714285714,0.5,0.0,2
0.8,K3_honeycomb,0.0,0.0,0.0,0.0,2
