eta,target,flank_ratio,weight,n
0.674175,maple_leaf_K1,0.16666666666666666,0.0002204585537918871,9
0.674675,honeycomb_K3,nan,0.0,9
0.674675,kagome_K2,nan,0.0,9
0.674675,maple_leaf_K1,0.5714285714285714,0.0002204585537918871,9
0.675175,honeycomb_K3,nan,0.0,9
0.675175,kagome_K2,nan,0.0,9
0.675175,maple_leaf_K1,0.8,0.00033068783068783067,9
0.675675,honeycomb_K3,nan,0.0,9
0.675675,kagome_K2,nan,0.0,9
0.675675,maple_leaf_K1,0.26666666666666666,0.00033068783068783067,9
0.676175,honeycomb_K3,nan,0.0,8
0.676175,kagome_K2,nan,0.0,8
0.676175,maple_leaf_K1,0.5333333333333333,0.000248015873015873,8
0.676675,honeycomb_K3,nan,0.0,9
0.676675,kagome_K2,nan,0.0,9
0.676675,maple_leaf_K1,0.5,0.0002204585537918871,9
0.677175,honeycomb_K3,nan,0.0,9
0.677175,kagome_K2,nan,0.0,9
0.677175,maple_leaf_K1,0.0,0.0,9
0.677675,honeycomb_K3,nan,0.0,9
0.677675,kagome_K2,nan,0.0,9
0.677675,maple_leaf_K1,0.0,0.0,9
0.678175,honeycomb_K3,nan,0.0,9
0.678175,kagome_K2,nan,0.0,9
0.678175,maple_leaf_K1,0.0,0.0,9
0.678675,honeycomb_K3,nan,0.0,8
0.678675,kagome_K2,nan,0.0,8
0.678675,maple_leaf_K1,0.2857142857142857,0.0001240079365079365,8
0.679175,honeycomb_K3,nan,0.0,9
0.679175,kagome_K2,nan,0.0,9
0.679175,maple_leaf_K1,0.3333333333333333,0.0002204585537918871,9
0.679675,honeycomb_K3,nan,0.0,9
0.679675,kagome_K2,nan,0.0,9
0.679675,maple_leaf_K1,0.6666666666666666,0.0002204585537918871,9
0.68,honeycomb_K3,nan,0.0,9
0.68,kagome_K2,nan,0.0,9
0.68,maple_leaf_K1,0.38095238095238093,0.00033068783068783067,9
0.680175,honeycomb_K3,nan,0.0,9
0.680175,kagome_K2,nan,0.0,9
0.680175,maple_leaf_K1,0.5,0.0004409171075837742,9
