eta,eps_star,sem,n_replicas,n_configurations
0.58,0.07643186971434818,0.0002412720139862303,44,352
0.59,0.0717549928985563,0.0002399578948512421,44,352
0.5986,0.0682444784781161,0.00020963157196992986,44,352
0.5991,0.06793367638935366,0.00018588345973430894,44,352
0.5996,0.06809879328183903,0.00017126949353719434,44,352
0.6,0.06762704479249336,0.00020490407825947247,44,352
0.6001,0.06785927334893282,0.00021321712163975285,44,352
0.6006,0.06745917269772944,0.00017804679368096018,44,352
0.6011,0.06714257279651696,0.00020324643155679632,44,352
0.6016,0.06714926806153824,0.0001701368542021148,44,352
0.6021,0.06643326702829612,0.0001592989167407309,44,352
0.6026,0.06669546091641625,0.00017295003516406304,44,352
0.6031,0.0664567751513222,0.00021362258384517168,44,352
0.6036,0.06626601063478674,0.00018432500974390286,44,352
0.6041,0.06661002685013978,0.00016538033015400067,44,352
0.6046,0.06565547741176753,0.00016388728936919545,44,352
0.6051,0.06549746970854962,0.0001387592331257102,44,352
0.6056,0.06548270524287224,0.00017199256253553027,44,352
0.6061,0.0649561384090894,0.00014462076580458474,44,352
0.6066,0.06519107627389222,0.0001555836301985945,44,352
0.6071,0.064559057362573,0.00015379345238560738,44,352
0.6076,0.06480692709801804,0.00020360107991554177,44,352
0.6081,0.06418680282935528,0.00017362505003785497,44,352
0.6086,0.06435338768192565,0.00019661114250298458,44,352
0.6091,0.06383889397097749,0.00019478459117184093,44,352
0.6096,0.06356769382573564,0.00018021111313577944,44,352
0.61,0.06368694531852861,0.00016006308182841893,44,352
0.6101,0.06374157983514316,0.00016775643874124244,44,352
0.6106,0.06324758051486087,0.00015890193296403307,44,352
0.62,0.05980550385705719,0.00013136431273541075,44,352
0.63,0.056279399588670696,0.00015738680308841722,44,352
0.64,0.052628072429218416,0.00016924159652282548,44,352
0.65,0.04924429761607139,0.00013714650948882794,44,352
0.66,0.0459945428126107,0.0001332582227919926,44,352
0.67,0.04303966783265986,0.00013778272631806784,44,352
0.674175,0.04145592788732124,0.0001052861466920819,44,352
0.674675,0.04149064773379766,0.00010685338458316082,44,352
0.675175,0.04116115541251487,0.00010405888317243378,44,352
0.675675,0.04105934626987148,0.00010353849815751339,44,352
0.676175,0.040938318447212026,0.0001077009264876986,44,352
0.676675,0.04072117540639703,9.94022253625304e-05,44,352
0.677175,0.04085762972356243,0.00012657039607236997,44,352
0.677675,0.040598218870770905,0.000125844923461494,44,352
0.678175,0.04021831439857175,0.00011067160611814419,44,352
0.678675,0.040250097416677705,0.00011848004754590274,44,352
0.679175,0.04006542989186322,0.00010980449699161215,44,352
0.679675,0.0399465647285854,0.00013638557644720024,44,352
0.68,0.03999910267960909,0.00012352594041151248,44,352
0.680175,0.03971516785494203,0.00011540790851401616,44,352
0.680675,0.03970256439792737,0.00011601829092082825,44,352
0.681175,0.03946855032465871,0.00010857300370155048,44,352
0.681675,0.03947646151988053,0.00011094934351029074,44,352
0.682175,0.03928690468315347,0.00011911028839194393,44,352
0.682675,0.03889784122656632,0.00011336700056105487,44,352
0.683175,0.03899841249490977,0.00010928960205451905,44,352
0.683675,0.03907118430574727,8.743732800946732e-05,44,352
0.684175,0.0384837434699928,0.00010979859475477587,44,352
0.684675,0.03845035595010266,0.00011271518411171042,44,352
0.685175,0.03842297196152596,0.00011715099842760213,44,352
0.685675,0.03821985239599235,0.00011223803038116132,44,352
0.686175,0.038030529573887244,0.00011169356687249488,44,352
0.69,0.036928588123029314,0.00011083512849592239,44,352
0.7,0.034198389343628316,0.00010019160651391962,44,352
