eta,reference,P_wrap,marked,chi,xi,n
0.6091,K2_kagome,0.0,0.015500992063492064,1.0158730158730158,0.04847730852536964,8
0.6091,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.6096,K1_maple_leaf,0.0,0.15928130511463845,1.615014487828925,0.6546437534691312,9
0.6096,K2_kagome,0.0,0.016534391534391533,1.0121971595655805,0.04136632353073866,9
0.6096,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.61,K1_maple_leaf,0.0,0.1527777777777778,1.6533826772961928,0.7419760972621264,9
0.61,K2_kagome,0.0,0.01829805996472663,1.0160145195028916,0.05707025624694326,9
0.61,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6101,K1_maple_leaf,0.0,0.15647045855379188,1.6865179592334603,0.7230859336873121,9
0.6101,K2_kagome,0.0,0.01642416225749559,1.0332234336168247,0.1038302846320086,9
0.6101,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.6106,K1_maple_leaf,0.0,0.1549272486772487,1.5599309177476381,0.6386559015566589,9
0.6106,K2_kagome,0.0,0.01614858906525573,1.0118539592223803,0.03728577086867527,9
0.6106,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.62,K1_maple_leaf,0.0,0.16164434523809523,1.6226961487116391,0.6578937700053594,8
0.62,K2_kagome,0.0,0.016307043650793652,1.0096153846153846,0.0256665209058628,8
0.62,K3_honeycomb,0.0,0.0,0.0,0.0,8
0.63,K1_maple_leaf,0.0,0.17482363315696647,1.7075844597732688,0.7369921835689396,9
0.63,K2_kagome,0.0,0.015101410934744267,1.0274074074074073,0.08644560777626094,9
0.63,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.64,K1_maple_leaf,0.0,0.1910273368606702,1.7728965044218623,0.77734863262594,9
0.64,K2_kagome,0.0,0.01394400352733686,1.007936507936508,0.024732909830086115,9
0.64,K3_honeycomb,0.0,0.0,0.0,0.0,9
0.65,K1_maple_leaf,0.0,0.19642857142857142,1.710970736751545,0.7089470303832066,9
